OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
122,A472889,MARSHMALLOW,DOG,A21-471460,FOSTER,,2021/09/16 07:00:00+00,ADOPTION,2021/09/16 07:00:00+00,8Y,TAN,S,EMERGENCY
123,A472942,BAMBI,DOG,A21-471460,CONFISCATE,AMERICAN AVE & PERALTA AVE,2021/07/23 07:00:00+00,FOSTER,2021/07/30 07:00:00+00,8Y,RED,S,EMERGENCY
124,A472942,BAMBI,DOG,,FOSTER,,2021/08/18 07:00:00+00,ADOPTION,2021/08/18 07:00:00+00,8Y,RED,S,EMERGENCY
125,A472977,CHUBBIE WUBB,DOG,A22-480958,OWNER SUR,YVONNE WAY & VILLA ROYALE WAY,2022/03/02 08:00:00+00,EUTH,2022/03/04 08:00:00+00,8Y,WHITE,M,MD/UNTREAT
126,A473643,ROCKY,DOG,,FOSTER,,2021/09/10 07:00:00+00,ADOPTION,2021/09/10 07:00:00+00,11Y,TAN,N,FOSTER
127,A473643,ROCKY,DOG,,FOSTER,,2021/08/20 07:00:00+00,FOSTER,2021/08/20 07:00:00+00,11Y,TAN,N,FOST2ADOPT
128,A473643,ROCKY,DOG,A21-471460,CONFISCATE,AMERICAN AVE & PERALTA AVE,2021/07/23 07:00:00+00,FOSTER,2021/07/30 07:00:00+00,11Y,TAN,N,EMERGENCY
129,A474495,BUDDY,DOG,A22-486174,CONFISCATE,BROADWAY & MARTIN LUTHER KING JR BLVD,2022/06/17 07:00:00+00,FOSTER,2022/06/30 07:00:00+00,8Y,BROWN,N,BEHAVIOR
130,A474495,BUDDY,DOG,,FOSTER,,2022/07/18 07:00:00+00,ADOPTION,2022/07/18 07:00:00+00,8Y,BROWN,N,FOSTER
131,A475117,MOMMY,DOG,,CONFISCATE,,2020/08/21 07:00:00+00,FOSTER,2020/08/24 07:00:00+00,14Y,BLACK,S,EMERGENCY
132,A475117,MOMMY,DOG,,FOSTER,,2020/10/03 07:00:00+00,ADOPTION,2020/10/03 07:00:00+00,14Y,BLACK,S,EMERGENCY
133,A476581,OBI,DOG,,STRAY,14TH AVE & BUSINESS DR,2021/12/19 08:00:00+00,RTO,2021/12/20 08:00:00+00,9Y,WHITE,N,WEBSITE
